NAME,CATEGORY,START DATE,END DATE,DESCRIPTION,ORGANIZER,VENUE,ADDRESS,URL
A2F2: The Ann Arbor Foto Fest,Hobbies & Special Interest,2017-11-11 09:30:00,2017-11-11 16:00:00,"What is it?
CameraMall has put together a day full of FREE photography events and classes where you'll have the opportunity to talk to the big names in photography like Nikon, Sigma, Panasonic, Olympus, and Fujifilm. CameraMall will have ONE DAY specials that beat Amazon and B&H prices on select inventory and $30 on-site DSLR sensor cleanings. This is your one-day stop for all your photography needs. A2F2, Ann Arbor's very own Foto Fest.

Schedule
9:30AM-3:30PM: Used Camera Buyer On-Site - Sell Your Photo Gear
10AM-3:30PM: On-Site Sensor Cleanings by Midwest Camera Repair ($30)
10AM-12PM: Frame It Like a Pro: Landscapes and Cityscapes by Bryan Minear (FREE)
11:30AM-1PM: Shootout in the Alley with Sigma Lens Expert, Marc Farb (FREE)
12PM-1:30PM: Travel Photography Photowalk with CB Friedland and Patrick Morgan (FREE)
1PM-3PM: Capturing Life in the Streets with Olympus Visionary, Mike Boening (FREE)
2PM-2:30PM: What's the Buzz with the Fujifilm GFX? by Bryan Minear (FREE)
2:30PM-3PM: Which One is For Me - the X-Pro2 or X-T2? by Bryan Minear (FREE)
3PM-3:30PM: What Are My Favorite Fujifilm X Lenses? with X Photographer, Bryan Minear (FREE)


Why should you come?
Free Photo Events and Classes
We've put together a full-day of FREE photo presentations and picture-taking events. Photographers of any experience level and cameras of any brand are welcome! This is a great opportunity to learn new photography skills, get fired up about photography, and make some new friends!

$30 On-Site Sensor Cleanings
Midwest Camera Repair will be at our store offering $30 on-site sensor cleanings performed by certified repair technicians.

Meet the Big Names in Photography
We'll have representatives on-hand from the big photography companies (listed below) to answer any of your questions about gear or using your equipment; and they'll be bringing all the latest and greatest equipment for you to try out!

Nikon
Sigma
Panasonic
Olympus
Fujifilm


Used Camera Buyer On-Site

We will have a used camera buyer on-site to make offers for your used photo equipment. Bring your gently used, one owner, photographic gear to either sell or trade.


We'll Beat Amazon Prices
We'll have ONE DAY specials on select inventory that will beat Amazon and B&H prices. If you're thinking about picking up some equipment, this could be a great day to do it.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-the-ann-arbor-foto-fest-tickets-38856393519?aff=ebapi
A2F2 Event: Frame it Like a Pro: Landscapes and Cityscapes by Bryan Minear,Hobbies & Special Interest,2017-11-11 10:00:00,2017-11-11 11:30:00,"The Presentation
Join Fujifilm X-Photographer Bryan Minear for a discussion about staying motivated and creative as a landscape and cityscape photographer, with principles that can be applied to any genre.  Bryan will discuss a range of technical topics including choosing the right lenses, training your eye for composition, utilizing ND filters, and the importance of post-processing.  Broader topics will also be covered such as the benefits of shooting more consistently, not having to travel to take great shots, and the positive/negative effects of social media.



Check out Bryan's Instagram for more: instagram.com/bryanminear

The Photographer

Bryan Minear, a Fujifilm X-Series Photographer and Delegate. 
Bryan Minear is a midwest-based designer, photographer, father, and pizza connosieur. From a young age Bryan was inspired by Ansel Adams' ethereal landscape work, which paved the direction he wanted to go as an artist. It took a lot of time and multiple detours along the way, but since 2015 Bryan has been pursuing landscape, lifestyle, and commercial photography as aggressively as one can while being a new father and still holding down a full-time job . His goal is to portray atmosphere and emotion through his work, whether he is shooting locally in the midwest or traveling to epic locations around the world. Most recently Bryan's image of the 2017 solar eclipse received viral attention, as it offered up a totally unique perspective of such a highly documented event. Bryan is an Official Fujifilm X-Photographer and a Vangaurd Professional Ambassador.

Where do I go?
Go to CameraMall (518 E Washington St, Ann Arbor, MI 48104). After confirming you're registered to attend, we'll escort you to The Michigan Theater Screening Room--we have a backdoor entrance right behind our store. The class will be held in The Michigan Theater Screening Room.
Having trouble finding us?
We've had a few people mention that they've had trouble finding our location.
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-frame-it-like-a-pro-landscapes-and-cityscapes-by-bryan-minear-tickets-39482146162?aff=ebapi
A2F2 Event: $30 On-Site Sensor Cleanings by Midwest Camera Repair,Hobbies & Special Interest,2017-11-11 10:00:00,2017-11-11 15:30:00,"Photo courtesy of Denver Pro Photo
Details of One-Day DSLR Sensor Cleaning Special
Midwest Camera Repair will be at our store offering $30 on-site DSLR sensor cleanings performed by certified repair technicians.
What should I bring?

An interchangeable lens camera
A body cap (we have available for $1 purchase during the event)
A fully charged battery

What shouldn't I bring?

Memory cards
Easily detachable items (eyecups, wireless adapters)
Battery grips

How long will it take to have my sensor cleaned?
Anticipate anywhere from 15 minutes to a few hours to have your sensor cleaned at the event. We'll text you as soon as the cleaning is completed. From our experience with previous events like this, we anticipate a high-volume of cleanings, which could cause a few hour wait. You can pick up your camera any time during our normal business hours (Tues-Fri 11:30AM-5:30PM | Sat 10AM-4PM), if you can't make it in the rest of the day. Midwest Camera Repair will stop accepting sensor cleanings after 3:30PM, so please make sure you arrive before 3:30PM if you want your camera's sensor cleaned.
Can I drop off my camera in advance to have the sensor cleaned at the $30 event special price?
Yes, you can drop off your camera prior to the event if you can't make it to the event, and you'll receive the $30 sensor cleaning price. However, Midwest Camera Repair will be prioritizing sensor cleanings for customers who attend the event on Saturday, November 11th. If you choose to drop off your camera prior to the event for sensor cleaning, it won't be ready for pick-up until Wednesday, November 15th during our normal business hours.


Frequently Asked Questions about Sensor Cleaning 
 Why do I need my sensor cleaned?
 Dust can accumulate on the part of the camera that takes the picture (the sensor), which plague your photos with black dots that appear in the same spot on every photo.
 The outside of my camera is dirty/dusty, but I don't see spots in my photos. Should I still get my sensor cleaned?
 No. Even if your camera exterior is dirty, if there are no spots in your photos, there's no reason to get your sensor cleaned. Performing external cleaning of the camera or cleaning the mirror cage cavity can actually push dust onto your sensor, so if it's not broken, don't to try to fix it! ;) 
 What is sensor cleaning?
 A certified repairman will use a combination of a sensor scope, a sensor vacuum, a hurricane blower, and sensor swabs to remove any dust or other foreign material that has settled on your sensor.  
 Why is it recommended a certified repairman performs the sensor cleaning? 
Because the sensor is highly sensitive and easily scratched, we recommend leaving sensor cleaning to the professionals.  
 How much does it normally cost to have a sensor cleaned?
 Midwest Camera Repair, located in Wyandotte, MI typically charges $65 to perform sensor cleanings.   This $30 sensor cleaning special we're offering runs one day only (Saturday, November 11th) and is a phenomenal deal! Stop out and take advantage of it to get your sensor cleaned!",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-30-on-site-sensor-cleanings-by-midwest-camera-repair-tickets-39132653821?aff=ebapi
Ann Arbor Vedanta Symposium,Religion & Spirituality,2017-11-11 10:00:00,2017-11-11 16:00:00,"The first Ann Arbor Vedanta Symposium (A2VS) will be held at the University of Michigan will be held on November 11, 2017. The two major goals of the symposium are:

Ensuring that the message of the Vedanta philosophy reaches a wider audience.
Exploring how the Vedantic philosophy can help us cope with mental health issues such as stress, depression, anxiety, and addiction.

We (Vedanta Study Circle at UM and the Vedanta Center of Ann Arbor) hope that we will be able to organize A2VS every year. Each year we will focus on a particular sphere of human endeavor that can be seen in a fresh light though a Vedantic perspective.",Vedanta Study Circle Ann Arbor,Palmer Commons,"100 Washtenaw Avenue, Ann Arbor, MI 48109",https://www.eventbrite.com/e/ann-arbor-vedanta-symposium-tickets-39494307537?aff=ebapi
Donation YinYasa Yoga,Health & Wellness,2017-11-11 11:00:00,2017-11-11 12:00:00,"Free yoga (with donations accepted) every Saturday from 11:00am-12:00pm
Saturdays from 11am-12pm, join Mota Thai Yoga for a free yoga class (with donations accepted).  This class is a combination of Yin and Vinyasa Yoga. Many of the postures are held for longer periods of time than a typical yoga class. This allows the muscles to relax, and the deep connective tissues to be gently stretched. In between these types of postures, movement and flowing between postures will be done to create internal heat. Great for beginners as well as those that have been doing yoga for a while. This class is heated between 80-90 degrees.
Look for door #22 with the red buddha on it.",Mota Thai Yoga,Mota Thai Yoga,"416 West Huron Street #22, Ann Arbor, MI 48103",https://www.eventbrite.com/e/donation-yinyasa-yoga-tickets-38166276360?aff=ebapi
"A2F2 Event: Shootout in the Alley with Sigma Lens Expert, Marc Farb",Hobbies & Special Interest,2017-11-11 11:30:00,2017-11-11 13:00:00,"The Photo Event
What's the buzz about Sigma lenses? Why are the review sites and bloggers drooling over Sigma's brand new Art, Contemporary, and Sport lenses? Find out for yourself in this fun and informative listen, then shoot-style workshop. Please bring your Nikon, Canon, or Sony FE/E mount camera--we will be loaning out lenses for you to try for FREE.
We will be meeting at CameraMall and walking around the corner to Ann Arbor's famous Graffiti Alley where Sigma Lens Expert, Marc Farb, will be giving a brief presentation about Sigma's diverse lens selection, including their advantages and applications. Lenses are a lot like tools in a tool box, each with its own strength and specific purpose to be used in different situations. What's the next lens in your tool box?

The Photographer

Marc Farb is a technical representative for Sigma. For Marc, photography is more than just a job, or a way to earn a steady income, it’s a way of life. Even more, it’s the chance to capture special moments in time and show them off to the world in a way they may never get to see them. It’s his job to preserve a moment in time and evoke a reaction from people who view his images.
Marc’s father was a Type Setter in the printing industry way back at the cross over point from lead type to negative film. So there was never a shortage of film in the house. He was given his first camera at the age of 8 years old and by the time he was 14 he had his own darkroom.
He attended the College of Boca Raton in the mid 80’s where he studied Electrical engineering as a major with a minor in computer science. Being that the school was only a few miles from an IBM facility, most of his professors were also involved in projects that would later impact the photo industry in major ways.
Fast forward 25 years, and Marc eventually became a freelance commercial photographer. From there, he took a Tech Rep position with Olympus Imaging in for the first stop in his career in the photo industry. Since then he has worked with such companies as Xrite, Ilford, Mamiya, Prophoto, and Sekonic. Marc continues to do freelance work as well and one of his clients is a major hospital system in NY city area. His work for them has included a variety of assignments for them…from publicity portraits of patients and corporate events. He is also experienced in medical and surgical photography.
Currently Marc’s assignment includes technical application support from the corporate office, as well as extensive traveling for photo conventions and trade shows for Sigma. He is proficient in Photoshop and Lightroom on a PC and Mac.
His experiences over the years have allowed him to teach classes all around the US and Canada on photographic topics that range from pixel to print, and all points between.
Marc lives on Long Island with his wife and two lovely daughters.

Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-shootout-in-the-alley-with-sigma-lens-expert-marc-farb-tickets-39129702995?aff=ebapi
A2F2 Event: Travel Photography Photowalk,Hobbies & Special Interest,2017-11-11 12:00:00,2017-11-11 13:30:00,"The Photowalk
Join Patrick Morgan (the organizer of The Ann Arbor Shutterbugs) and CB Friedland (the organizer of Focused Photography Education) for a FREE travel photography photowalk through downtown Ann Arbor, where we will focus on improving story telling by shooting from a tourist's point of view. Meet at CameraMall. Photographers of any brand and skill level are welcome!

What will be covered?
• Ways to Prepare Before You Leave
• What to Bring with you
• How to build photography into a family vacation and still remain married afterwards
• Shot Selection While You are There
• How to Capture the Story of Your Travels

What you will need for this Meetup:

A camera, digital camera phone, or film camera.
Comfortable walking shoes.
An adventurous spirit.



Having trouble finding us?
We've had a few people mention that they've had trouble finding our location.
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-travel-photography-photowalk-tickets-39132544494?aff=ebapi
"A2F2 Event: Capturing Life in the Streets - Olympus Visionary, Mike Boening",Hobbies & Special Interest,2017-11-11 13:00:00,2017-11-11 15:00:00,"The Photo Walk
In today's culture we're so busy with the daily hustle--we're constantly chasing deadlines, counting minutes, and struggling to keep up. Take a minute, breathe, and slow down. Take this FREE opportunity to join photographer and Olympus Visionary, Mike Boening, in slowing down and watching the street hustle unfold around you. Notice and capture the little moments you miss everyday because you're too busy hurrying to your next meeting, to pick up the kids, or to beat the traffic.
Mike will discuss some strategies he uses to capture dynamic images and explore how architecture can feature your subjects in new and interesting ways.

The Photographer
Mike commonly finds his inspiration on the streets of his hometown, Detroit, Michigan as well as any city he may travel too.  A travel junkie, Mike specializes in street and urban photography. Mike works to document life in daily situations making the most of what others might consider mundane.  He also works to create captivating images depicting urban environments at night with the Olympus Live Composite feature.  He is considered highly skilled in this area and loves to instruct on its many uses.
Over the years, he has worked with the Detroit Metro Convention Bureau, covering events as well as the Pure Michigan campaign for billboards around Michigan.  He writes for many gear blogs and has been featured on podcasts like Street Focus from T.W.I.P. and Out Of Chicago.  Mike shares his love of street photography by instructing and leading groups on urban photography in the Detroit area and major cities like Philadelphia, Atlanta, San Francisco, Chicago and Toronto…When Mike isn’t behind a camera, he’s in front of the camera serving as cohost of the biweekly video podcast, “Mirrorless Minutes” along with fellow Trailblazer, Jamie MacDonald.  
“Capturing images with Olympus gear has led to a dramatic change in my creativity and ability to create amazing images while supporting my motto of “Shoot Light | Shoot Often.”",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-capturing-life-in-the-streets-olympus-visionary-mike-boening-tickets-38684148329?aff=ebapi
A2F2 Event: What's the buzz with the Fujifilm GFX? by Bryan Minear,Hobbies & Special Interest,2017-11-11 14:00:00,2017-11-11 14:30:00,"The Discussion
The Fujifilm GFX 50s generated a lot of buzz earlier this year--the bloggers and reviewers went crazy. It's one of the world's first mirrorless medium-format cameras. Join Fujifilm X Delegate, Bryan Minear, as he discusses why a photographer would choose a medium format camera and why this particular camera was revolutionary in the photo industry. Is the GFX for you?
Rather have some hands-on time with the camera? No problem--we'll have a GFX 50s for you to try as well!

The Photographer

Bryan Minear, a Fujifilm X-Series Photographer and Delegate. 
Bryan is an Ohio­born photographer and graphic designer currently based in the Midwest. His passion for design and photography started at a young age, but it wasn’t until he took his first film photography class in college that he began to recognize it as a form of art and expression. He established his own freelance creative company while still in school and immediately got to work. From weddings and commercial work to his true passion landscape and cityscape photography, Bryan has been a part of the industry for over 10 years and is only just getting started traveling and teaching workshops. Since picking up the original X100 in 2011, Fujifilm X Series cameras have transformed his style and technique, and have since become his gear of choice for all aspects of his work. You can find Bryan most frequently on Instagram, Twitter, and Facebook as well as bryanminear.com

Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-whats-the-buzz-with-the-fujifilm-gfx-by-bryan-minear-tickets-39146286597?aff=ebapi
A2F2 Event: Which one is for me - the X-Pro2 or X-T2? by Bryan Minear,Hobbies & Special Interest,2017-11-11 14:30:00,2017-11-11 15:00:00,"The Discussion
The X-T2 and X-Pro2 are Fujifilm's flagship X-Series APS-C sensor interchangeable lens cameras--while they're very similar when you look at the specifications, they look quite different because they cater to different types of photography. Join Fujifilm X Delegate, Bryan Minear, and find out which one is the best fit for you--is it the rangefinder style X-Pro2, or the traditional viewfinder style X-T2?
Rather have some hands-on time with the camera? No problem--we'll have an X-T2 and X-Pro2 for you to play with!

The Photographer

Bryan Minear, a Fujifilm X-Series Photographer and Delegate. 
Bryan is an Ohio­born photographer and graphic designer currently based in the Midwest. His passion for design and photography started at a young age, but it wasn’t until he took his first film photography class in college that he began to recognize it as a form of art and expression. He established his own freelance creative company while still in school and immediately got to work. From weddings and commercial work to his true passion landscape and cityscape photography, Bryan has been a part of the industry for over 10 years and is only just getting started traveling and teaching workshops. Since picking up the original X100 in 2011, Fujifilm X Series cameras have transformed his style and technique, and have since become his gear of choice for all aspects of his work. You can find Bryan most frequently on Instagram, Twitter, and Facebook as well as bryanminear.com

Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-which-one-is-for-me-the-x-pro2-or-x-t2-by-bryan-minear-tickets-39147384882?aff=ebapi
A2F2 Event: What are my favorite Fujifilm X lenses? with X-er Bryan Minear,Hobbies & Special Interest,2017-11-11 15:00:00,2017-11-11 15:30:00,"The Discussion
Many Fujifilm X photographers will tell you the reason they chose Fujifilm is because of the lenses. Fujifilm has a long history of making lenses--they made lenses for Hasselblad, NASA satellites, Hollywood cinema lenses, and now they're making lenses for their camera system! With such a large selection of beautiful glass, how do you choose your next X-series lens?
Join Fujifilm X Delegate, Bryan Minear, and find out which lenses are Bryan's favorites. I highly recommend you check out Bryan's instagram @bryanminear (instagram.com/bryanminear/). He's always taking breathtaking photos, and you can too. 

The Photographer

Bryan Minear, a Fujifilm X-Series Photographer and Delegate. 
Bryan is an Ohio­born photographer and graphic designer currently based in the Midwest. His passion for design and photography started at a young age, but it wasn’t until he took his first film photography class in college that he began to recognize it as a form of art and expression. He established his own freelance creative company while still in school and immediately got to work. From weddings and commercial work to his true passion landscape and cityscape photography, Bryan has been a part of the industry for over 10 years and is only just getting started traveling and teaching workshops. Since picking up the original X100 in 2011, Fujifilm X Series cameras have transformed his style and technique, and have since become his gear of choice for all aspects of his work. You can find Bryan most frequently on Instagram, Twitter, and Facebook as well as bryanminear.com

Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-what-are-my-favorite-fujifilm-x-lenses-with-x-er-bryan-minear-tickets-39147995709?aff=ebapi
NASCO Annual General Meeting 2017,,2017-11-12 09:00:00,2017-11-12 12:15:00,"The Annual General Meeting (AGM) is where NASCO members can voice their opinions and engage in NASCO’s governance. This get-together gives delegates a chance to think and speak together as a broad and diverse membership about the future we envision for NASCO’s co-op education, development, and organizing. It is a chance for representatives to learn and network with other representatives facing similar challenges and successes in their co-ops. It is also the forum for active members to nominate and elect an Active Member Representative, who serves a one-year term on the NASCO Board of Directors.

Each NASCO Member Co-op and Associate Member must delegate one representative to the Annual General Meeting who will cast votes on behalf of their organization. AGM Representatives will receive a 50% reduction in their registration fees. The AGM will take place on Sunday morning of NASCO Institute, from 9 am-12:15 pm on November 12th, 2017. All are welcome to attend the AGM, however, voting privileges will be limited to AGM delegates.
AGM representatives will be asked to report on the current state of their cooperative at the meeting, so please consider preparing a brief (2-3 min) summary.

You co-op must register your AGM Representative by November 5th, 2017.",North American Students of Cooperation (NASCO),Student Union (Pond AB),"530 S. State Street, Ann Arbor, MI 48109-1308",https://www.eventbrite.com/e/nasco-annual-general-meeting-2017-tickets-39192162814?aff=ebapi
Woolfolk Fall 2017 Collection Trunk Show,Other,2017-11-12 11:00:00,2017-11-12 17:00:00,"Woolfolk yarn arrived in the shop in August to the expected (and deserved) oohs and aahs. Now, Woolfolk's most recent design collection is coming to Ann Arbor for a few days to provoke even more admiration. 

Woolfolk’s FW17 Collection, inspired by the majestic landscape of the Pacific Northwest, features a soft color palette and Woolfolk’s signature modern simplicity. 

We'll have the show up in the shop for just a week. Don't miss it!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467654818?aff=ebapi
Woolfolk Fall 2017 Collection Trunk Show,Other,2017-11-13 10:00:00,2017-11-13 18:00:00,"Woolfolk yarn arrived in the shop in August to the expected (and deserved) oohs and aahs. Now, Woolfolk's most recent design collection is coming to Ann Arbor for a few days to provoke even more admiration. 

Woolfolk’s FW17 Collection, inspired by the majestic landscape of the Pacific Northwest, features a soft color palette and Woolfolk’s signature modern simplicity. 

We'll have the show up in the shop for just a week. Don't miss it!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467653815?aff=ebapi
Menlo Factory Tour,Business & Professional,2017-11-13 16:00:00,2017-11-13 17:30:00,"Join us for this 90-minute tour to explore how we created our joyful, award-winning work environment and to hear about the world-class products we have created for our clients. The session includes a walking tour of the Menlo Software Factory™ and time for Q&A with a tour guide.
DURATION: 90 minutesCOST: Free

Our public factory tours often fill quickly! If a Menlo Factory Tour isn't available on a date that's convenient for you, consider registering for the Joy, Inc. Factory Tour. You can also call or email us to learn more about other opportunities to visit the Software Factory.
The Menlo Software Factory™ is located at 505 E Liberty St, LL500, Ann Arbor, Michigan 48104.",Menlo Innovations,Menlo Innovations,"505 E Liberty St, Ann Arbor, MI 48104",https://www.eventbrite.com/e/menlo-factory-tour-registration-28420830469?aff=ebapi
Alumni Reunion,Science & Technology,2017-11-13 17:00:00,2017-11-13 19:00:00,"We will be in the back patio part of Bar Louie. We will be providing the snacks, drinks on your own.",Desai Accelerator ,Bar Louie,"401 East Liberty Street #200, Ann Arbor, MI 48104",https://www.eventbrite.com/e/alumni-reunion-tickets-39413051498?aff=ebapi
Social Justice and Tobacco Control: Impact on Underserved Populations,Community & Culture,2017-11-14 17:00:00,2017-11-14 20:00:00,"A panel of experts in the field of tobacco treatment, policy, and control will discuss tobacco industry practices that target underserved communities, such as minority groups, LGBTQ, low income, and others. The discussion will also focus on tobacco-related health disparities and what can be done to help reduce these inequities.
Panel will be moderated by Alena Williams, MSW, CTTS-M. Alena is a Health Educator with the MHealthy Tobacco Consultation Service. She conducts inpatient tobacco assessments and provides tobacco treatment to patients. She is also a Community Health Advisor Facilitator at the Cancer Support Community of Greater Ann Arbor. In this role, she focuses on health disparities and psychosocial cancer support services within the African American community through outreach, program development, and volunteer training. 
Panelists include:


Lincoln Mondy, Creator, Black Lives/Black Lungs and former Youth Activist Fellow, Truth Initiative


Cliff Douglas, JD, Vice President for Tobacco Control, American Cancer Society (ACS), and Director,  ACS Tobacco Control Center


Kate Donaldson, Health Educator/Public Information Officer, District Health Department #10


Lilianna Reyes, Program Services Director, Affirmations


A reception will follow the event.",MHealthy Tobacco Consultation Service,University of Michigan School of Public Health,"1415 Washington Heights, Ann Arbor, MI 48109",https://www.eventbrite.com/e/social-justice-and-tobacco-control-impact-on-underserved-populations-tickets-39052753838?aff=ebapi
ADHD and Learning Disabilities Workshop - Fall 2017,Family & Education,2017-11-14 18:30:00,2017-11-14 20:00:00,"Our popular free workshop series focused on Attention Deficit Hyperactivity Disorder (ADHD) and learning disabilities returns!
The workshops focus on practical tips, resources, and guidance for supporting and advocating for children with attention and learning problems. The workshop series creates a welcoming environment to learn more about ADHD and learning disabilities, time to connect with other parents and guardians, and practical ways to apply what you learn in the workshops at home and with the schools.
Attendance at all three is not required, but is strongly recommended in order for you to get the most out of the series! Please register for each of the dates you plan to attend.",University Center for the Child and Family (UCCF),University Center for the Child and Family - Rackham Institute,"500 E Washington St Suite 100, Ann Arbor, MI 48104",https://www.eventbrite.com/e/adhd-and-learning-disabilities-workshop-fall-2017-registration-38253315697?aff=ebapi
November Photo-Club,,2017-11-14 19:00:00,2017-11-14 21:00:00,"Don't forget it is free and you can bring any friends!Hosted by Ann Arbor based photographer:
Marc-Grégor CampredonTheme:Tuesday Nov 14: ""Motion with emotion""
What to bring? A tablet or a computer to look at the slide show (We will provide one screen).What to do now?Rsvp - So we can save you a seat. By the way: No obligation to submit any pictures :)!Try to send us a picture that you are proud of, and maybe one or two that you wish to improved. If possible match the Theme: of the day.Send the pictures to Mg (By email: photos@marc-gregor.com) one to three photos (highest quality possible) in JPEG (NO WATERMARK).
'We need to get the photo 24h prior to the meeting.Since september 2017 - The location changed! Do not go to our previous location!Please give them a follow and a like
@facebook  / @twitter  / @instagram
 www.commoncupcoffee.com

Lens Therapy""May the Focus be with you!""#lenstherapy",Lens Therapy,The Common Cup,"1511 Washtenaw Avenue, Ann Arbor, MI 48104",https://www.eventbrite.com/e/november-photo-club-tickets-37717706676?aff=ebapi
ELSI-LHS 2017 Symposium & Workshop,Health & Wellness,2017-11-15 08:00:00,2017-11-15 16:00:00,"Join us for our 2nd annual symposium and workshop on the ethical, legal and social implications of learning health systems (ELSI-LHS).
This year's focus will be on data and knowledge sharing.
NOV 15 - 8:00 am - 4:00 pm: The symposium will lay out the ELSI of data sharing and translation in learning health systems that strive to be both FAIR (findable, accessible, interoperable, and reusable) and fair.  The day will interactively address critical issues on data and knowledge sharing.  
Speakers include John Wilbanks, Elizabeth Pike, Kenneth Goodman, Debra Mathews, Peter Embi, Peter Singleton, Warren Kibbe, Joon-Ho Yu and more to come!
Proceeds will be synthesized into draft recommendations for data and translation to practice & streamline future ELSI-LHS research.
We have issued a Call for Poster Abstracts to be included in the 2nd annual symposium.  Poster displays should relate to the conference theme, ""Data and Knowledge Sharing,"" and may relate to either ELSI or technical aspects of learning health systems.  Abstracts and posters should be developed for an interdisciplinary audience including social scientists, informaticians, health care providers, and community members.  
To submit an abstract, please go to:  2017 ELSI Abstract Submission
#elsilhs",,November 15-8:00-4:00 pm,"University of Michigan - Palmer Commons 100 Washtenaw Ave., Ann Arbor, MI 48109",https://www.eventbrite.com/e/elsi-lhs-2017-symposium-workshop-tickets-34856865824?aff=ebapi
Master of Supply Chain Management Admissions Chat - Domestic Applicants,Other,2017-11-15 08:00:00,2017-11-15 17:00:00,"Thinking about Grad School? Interested in learning more about the Ross Master of Supply Chain Management Program? 
Simply complete the registration for a 30-minute chat session with an MSCM Admissions Advisor. During the session, you will have the opportunity to individually learn more about the program or obtain tips for creating a desirable application for the MSCM Program. Once registered, you will receive an email offering the available time slots. Choose your desired meeting format: online, in-person, or via phone.
We look forward to chatting with you!",MSCM Admissions,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/master-of-supply-chain-management-admissions-chat-domestic-applicants-registration-38421803649?aff=ebapi
Freshman X Missguided Campus Takeover Tour University of Michigan,Fashion & Beauty,2017-11-15 14:00:00,2017-11-15 21:00:00,"The Freshman Tour is coming to University of Michigan Ann Arbor! We’re throwing a one day pop-shop shop carrying exclusive merch fromMissguided! Get hype!Make sure to stop by for the hook up on killer giveaways from Pier 1 Imports, Lyft, DIFF Eyewear, KIND Snacks, StudentUniverse, and Solé Bicycles. Featuring….Live DJs all daySilent Disco Listening Party from Zaena & Jason Maek + artist meet & greetFREE STUFF! (that’s what you like to hear)Date: 11/15/2017Location: Club AboveAdmission: FREEPop-Up Shop:   2:00pm - 7:00pmListening Party: 7:00pm - 9:00pm

www.freshmantour.com",Shuffle Presents,Club Above,"215 North Main Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/freshman-x-missguided-campus-takeover-tour-university-of-michigan-tickets-38403597193?aff=ebapi
